"STATION","DATE","PRCP","TMAX","TMIN"
"USW00094728","2022-01-01","  201","  133","  100"
"USW00094728","2022-01-02","   10","  150","   28"
"USW00094728","2022-01-03","    0","   28","  -55"
"USW00094728","2022-01-04","    0","   11","  -71"
"USW00094728","2022-01-05","   58","   83","   -5"
"USW00094728","2022-01-06","    0","   50","   11"
"USW00094728","2022-01-07","   97","   11","  -38"
"USW00094728","2022-01-08","    0","  -10","  -66"
"USW00094728","2022-01-09","   25","   44","  -16"
"USW00094728","2022-01-10","    0","   44","  -43"
"USW00094728","2022-01-11","    0","  -43","  -93"
"USW00094728","2022-01-12","    0","   44","  -66"
"USW00094728","2022-01-13","    0","   89","   11"
"USW00094728","2022-01-14","    0","   61","  -60"
"USW00094728","2022-01-15","    0","  -60"," -121"
"USW00094728","2022-01-16","   94","   28"," -121"
"USW00094728","2022-01-17","  295","   67","   11"
"USW00094728","2022-01-18","    0","   22","  -16"
"USW00094728","2022-01-19","    0","   94","  -21"
"USW00094728","2022-01-20","   76","   78","  -55"
"USW00094728","2022-01-21","    0","  -55","  -99"
"USW00094728","2022-01-22","    0","  -16"," -105"
"USW00094728","2022-01-23","    5","   28","  -43"
"USW00094728","2022-01-24","    0","   22","  -32"
"USW00094728","2022-01-25","    0","   56","  -21"
"USW00094728","2022-01-26","    0","  -21","  -66"
"USW00094728","2022-01-27","    0","    0","  -82"
"USW00094728","2022-01-28","   33","    0","  -16"
"USW00094728","2022-01-29","  196","  -16"," -110"
"USW00094728","2022-01-30","    0","  -32"," -110"
"USW00094728","2022-01-31","    0","   -5","  -60"
"USW00094728","2022-02-01","    0","   22","  -49"
"USW00094728","2022-02-02","    0","   83","    0"
"USW00094728","2022-02-03","  107","  111","   56"
"USW00094728","2022-02-04","  183","  139","  -32"
"USW00094728","2022-02-05","    0","  -27","  -71"
"USW00094728","2022-02-06","    0","  -10","  -82"
"USW00094728","2022-02-07","   38","   28","  -10"
"USW00094728","2022-02-08","   18","   72","    0"
"USW00094728","2022-02-09","    0","   78","  -16"
"USW00094728","2022-02-10","    0","  122","   28"
"USW00094728","2022-02-11","    0","  139","   33"
"USW00094728","2022-02-12","    0","  150","   56"
"USW00094728","2022-02-13","   58","   56","  -38"
"USW00094728","2022-02-14","    0","  -38","  -88"
"USW00094728","2022-02-15","    0","  -10","  -88"
"USW00094728","2022-02-16","    0","   94","  -21"
"USW00094728","2022-02-17","   79","  200","   94"
"USW00094728","2022-02-18","   84","  172","  -27"
"USW00094728","2022-02-19","    0","   44","  -49"
"USW00094728","2022-02-20","    0","   22","  -60"
"USW00094728","2022-02-21","    0","  128","    0"
"USW00094728","2022-02-22","   66","  161","   28"
"USW00094728","2022-02-23","    0","  200","   17"
"USW00094728","2022-02-24","    0","   17","  -16"
"USW00094728","2022-02-25","  188","   50","  -32"
"USW00094728","2022-02-26","    0","   28","  -43"
"USW00094728","2022-02-27","    0","   89","  -21"
"USW00094728","2022-02-28","    0","   22","  -32"
"USW00094728","2022-03-01","    0","   89","   -5"
"USW00094728","2022-03-02","    0","  111","   44"
"USW00094728","2022-03-03","    8","   89","  -43"
"USW00094728","2022-03-04","    0","   28","  -60"
"USW00094728","2022-03-05","    0","   78","    0"
"USW00094728","2022-03-06","   15","  200","   61"
"USW00094728","2022-03-07","    8","  233","  100"
"USW00094728","2022-03-08","    0","  100","   39"
"USW00094728","2022-03-09","  142","   50","    6"
"USW00094728","2022-03-10","    0","  106","    6"
"USW00094728","2022-03-11","    0","  128","   44"
"USW00094728","2022-03-12","  127","   89","  -43"
"USW00094728","2022-03-13","    0","   17","  -55"
"USW00094728","2022-03-14","    0","  133","    6"
"USW00094728","2022-03-15","    0","  200","   78"
"USW00094728","2022-03-16","    0","  194","   89"
"USW00094728","2022-03-17","   20","  117","   72"
"USW00094728","2022-03-18","    0","  233","  100"
"USW00094728","2022-03-19","   13","  211","   94"
"USW00094728","2022-03-20","    0","  161","   78"
"USW00094728","2022-03-21","    0","  167","   67"
"USW00094728","2022-03-22","    0","  144","   61"
"USW00094728","2022-03-23","   15","   94","   33"
"USW00094728","2022-03-24","  236","   83","   33"
"USW00094728","2022-03-25","    5","  156","   67"
"USW00094728","2022-03-26","    0","  117","   56"
"USW00094728","2022-03-27","    0","   78","  -21"
"USW00094728","2022-03-28","    0","    6","  -49"
"USW00094728","2022-03-29","    0","   33","  -43"
"USW00094728","2022-03-30","    0","   83","  -16"
"USW00094728","2022-03-31","   18","  189","   72"
"USW00094728","2022-04-01","   71","  161","   61"
"USW00094728","2022-04-02","    0","  122","   33"
"USW00094728","2022-04-03","   30","   89","   44"
"USW00094728","2022-04-04","    0","  122","   39"
"USW00094728","2022-04-05","   10","  139","   72"
"USW00094728","2022-04-06","  114","  117","   67"
"USW00094728","2022-04-07","  284","  122","   72"
"USW00094728","2022-04-08","    8","  183","   94"
"USW00094728","2022-04-09","   13","  128","   83"
"USW00094728","2022-04-10","    0","  100","   56"
"USW00094728","2022-04-11","    0","  161","   44"
"USW00094728","2022-04-12","   18","  222","  100"
"USW00094728","2022-04-13","    0","  217","  128"
"USW00094728","2022-04-14","   15","  261","  139"
"USW00094728","2022-04-15","    0","  211","  111"
"USW00094728","2022-04-16","   51","  228","   67"
"USW00094728","2022-04-17","    0","  106","   50"
"USW00094728","2022-04-18","  216","  122","   39"
"USW00094728","2022-04-19","  315","  100","   39"
"USW00094728","2022-04-20","    0","  156","   56"
"USW00094728","2022-04-21","    0","  150","   67"
"USW00094728","2022-04-22","    0","  211","  117"
"USW00094728","2022-04-23","    0","  183","  106"
"USW00094728","2022-04-24","    0","  172","   89"
